,Date,DXY
0,2018-01-02,91.8499984741211
1,2018-01-03,92.16000366210938
2,2018-01-04,91.8499984741211
3,2018-01-05,91.9499969482422
4,2018-01-08,92.33000183105467
5,2018-01-09,92.52999877929688
6,2018-01-10,92.33000183105467
7,2018-01-11,91.8499984741211
8,2018-01-12,90.97000122070312
9,2018-01-16,90.38999938964844
10,2018-01-17,90.54000091552734
11,2018-01-18,90.5
12,2018-01-19,90.56999969482422
13,2018-01-22,90.4000015258789
14,2018-01-23,90.12000274658205
15,2018-01-24,89.20999908447266
16,2018-01-25,89.38999938964844
17,2018-01-26,89.06999969482422
18,2018-01-29,89.30999755859375
19,2018-01-30,89.19000244140625
20,2018-01-31,89.12999725341797
21,2018-02-01,88.66999816894531
22,2018-02-02,89.19999694824219
23,2018-02-05,89.55000305175781
24,2018-02-06,89.58999633789062
25,2018-02-07,90.26000213623048
26,2018-02-08,90.2300033569336
27,2018-02-09,90.44000244140624
28,2018-02-12,90.20999908447266
29,2018-02-13,89.69999694824219
30,2018-02-14,89.12000274658203
31,2018-02-15,88.58999633789062
32,2018-02-16,89.0999984741211
33,2018-02-20,89.72000122070312
34,2018-02-21,90.08000183105467
35,2018-02-22,89.75
36,2018-02-23,89.87999725341797
37,2018-02-26,89.81999969482422
38,2018-02-27,90.36000061035156
39,2018-02-28,90.61000061035156
40,2018-03-01,90.31999969482422
41,2018-03-02,89.94000244140625
42,2018-03-05,90.08000183105467
43,2018-03-06,89.62000274658203
44,2018-03-07,89.63999938964844
45,2018-03-08,90.12000274658205
46,2018-03-09,90.08999633789062
47,2018-03-12,89.9000015258789
48,2018-03-13,89.66000366210938
49,2018-03-14,89.69999694824219
50,2018-03-15,90.13999938964844
51,2018-03-16,90.2300033569336
52,2018-03-19,89.9000015258789
53,2018-03-20,90.37000274658205
54,2018-03-21,89.77999877929688
55,2018-03-22,89.86000061035156
56,2018-03-23,89.44000244140625
57,2018-03-26,89.02999877929688
58,2018-03-27,89.37000274658203
59,2018-03-28,90.05999755859375
60,2018-03-29,90.1500015258789
61,2018-04-02,90.05000305175781
62,2018-04-03,90.1999969482422
63,2018-04-04,90.13999938964844
64,2018-04-05,90.45999908447266
65,2018-04-06,90.11000061035156
66,2018-04-09,89.83999633789062
67,2018-04-10,89.58999633789062
68,2018-04-11,89.56999969482422
69,2018-04-12,89.75
70,2018-04-13,89.80000305175781
71,2018-04-16,89.43000030517578
72,2018-04-17,89.5199966430664
73,2018-04-18,89.62000274658203
74,2018-04-19,89.94000244140625
75,2018-04-20,90.31999969482422
76,2018-04-23,90.94000244140624
77,2018-04-24,90.7699966430664
78,2018-04-25,91.16999816894533
79,2018-04-26,91.55999755859376
80,2018-04-27,91.54000091552734
81,2018-04-30,91.83999633789062
82,2018-05-01,92.4499969482422
83,2018-05-02,92.51000213623048
84,2018-05-03,92.41000366210938
85,2018-05-04,92.56999969482422
86,2018-05-07,92.75
87,2018-05-08,93.12000274658205
88,2018-05-09,93.04000091552734
89,2018-05-10,92.6500015258789
90,2018-05-11,92.54000091552734
91,2018-05-14,92.58999633789062
92,2018-05-15,93.22000122070312
93,2018-05-16,93.38999938964844
94,2018-05-17,93.47000122070312
95,2018-05-18,93.63999938964844
96,2018-05-21,93.68000030517578
97,2018-05-22,93.61000061035156
98,2018-05-23,94.01000213623048
99,2018-05-24,93.77999877929688
100,2018-05-25,94.19000244140624
101,2018-05-29,94.83000183105467
102,2018-05-30,94.1500015258789
103,2018-05-31,93.98999786376952
104,2018-06-01,94.19000244140624
105,2018-06-04,94.0199966430664
106,2018-06-05,93.88999938964844
107,2018-06-06,93.66000366210938
108,2018-06-07,93.4000015258789
109,2018-06-08,93.5500030517578
110,2018-06-11,93.58000183105467
111,2018-06-12,93.8000030517578
112,2018-06-13,93.70999908447266
113,2018-06-14,94.7699966430664
