Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1786233600000,64962.60000000,65474.46000000,64730.08000000,64901.59000000,7031.23606000,1786319999999,457366207.40422350,803981,3207.32922000,208616902.93426420,0
1786320000000,64901.59000000,65391.14000000,63806.27000000,63970.01000000,13638.40877000,1786406399999,880502559.65311250,2054347,6946.62767000,448395344.72269970,0
1786406400000,63970.01000000,64515.43000000,63238.00000000,63600.00000000,12891.63248000,1786492799999,823992195.66591810,1660517,6363.01318000,406580591.52596730,0
1786492800000,63600.01000000,64500.00000000,63310.34000000,63479.99000000,13627.06822000,1786579199999,868963134.22856060,1990499,6993.82626000,445813941.04264210,0
1786579200000,63479.99000000,64010.00000000,62802.27000000,63490.86000000,10793.85853000,1786665599999,685844694.24948480,2078777,5588.30192000,355148234.43938670,0
1786665600000,63490.86000000,63617.45000000,62535.24000000,63043.56000000,12340.82899000,1786751999999,777408844.70579770,2184530,6678.27723000,420633226.24807670,0
1786752000000,63043.56000000,63187.98000000,62920.00000000,63086.01000000,5405.16038000,1786838399999,340890632.35788360,540313,3110.52011000,196180469.50074570,0
1786838400000,63086.01000000,63390.00000000,62716.00000000,62900.00000000,4737.23135000,1786924799999,298698048.55513150,640294,2498.03555000,157497828.26996570,0
1786924800000,62900.00000000,64610.01000000,62751.10000000,64532.10000000,14255.64713000,1787011199999,909366051.06852270,2111256,7186.91098000,458508023.19464200,0
1787011200000,64532.11000000,65058.81000000,64027.85000000,64725.42000000,11789.91312000,1787097599999,759405329.82942150,1608019,5759.24912000,370988128.63305250,0
1787097600000,64725.42000000,70000.00000000,64166.00000000,69334.79000000,29054.29976000,1787183999999,1954769139.09319090,4160596,15646.86527000,1052899268.55794110,0
1787184000000,69334.78000000,73400.00000000,68902.22000000,73025.15000000,35904.79287000,1787270399999,2562053707.60998330,6249114,18144.94133000,1294796740.99114590,0
1787270400000,73027.02000000,79500.00000000,73027.02000000,78338.03000000,44339.56568000,1787356799999,3401672760.03336090,8928944,23033.87661000,1766188726.33158330,0
